_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
button.unlock_writing_stats,Unlock writing stats,افتح إحصائيات الكتابة,Schreibstatistiken freischalten,Desbloquear estadísticas de escritura,Desbloquear estadísticas de escritura,Débloquer les statistiques d'écriture,लेखन आँकड़े अनलॉक करें,Buka statistik penulisan,Sblocca le statistiche di scrittura,執筆統計のロックを解除,ដោះសោស្ថិតិសរសេរ,글쓰기 통계 잠금 해제,Odblokuj statystyki pisania,Desbloquear estatísticas de escrita,Mở khóa số liệu thống kê bài viết,解锁写作统计数据,Schreibstatistiken freischalten,Розблокувати статистику написання,Yazma istatistiklerinin kilidini açın
button.unpin_story,Unpin story,قصة Unpin,Geschichte auflösen,Desanclar historia,Desanclar historia,Détacher l'histoire,कहानी को अनपिन करें,Lepaskan pin cerita,Sblocca storia,ストーリーのピンを外す,ដក​ខ្ទាស់​រឿង,스토리 고정 해제,Odepnij historię,Desafixar história,Bỏ ghim câu chuyện,取消固定故事,Открепить историю,Відкріпити розповідь,Hikayeyi sabitlemeden kaldır
button.unselect_all,Unselect all,إلغاء تحديد الكل,Auswahl aufheben,Deseleccionar todo,Deseleccionar todo,Désélectionner tout,सभी को अचयनित करें,Batalkan pilihan semua,Deseleziona tutto,すべて選択解除,ឈប់ជ្រើសរើសទាំងអស់,모두 선택 해제,Odznacz wszystko,Desmarcar tudo,Bỏ chọn tất cả,取消全选,Отменить выбор,Скасувати вибір усього,Tüm seçimleri kaldır
button.update,Update,تحديث,Aktualisieren,Actualizar,Actualizar,Mise à jour,अद्यतन,Memperbarui,Aggiornamento,アップデート,ធ្វើបច្ចុប្បន្នភាព,업데이트,Aktualizacja,Atualizar,Cập nhật,更新,,Оновити,Güncelle
button.update,Update,تحديث,Aktualisieren,Actualizar,Actualizar,Mise à jour,अद्यतन,Memperbarui,Aggiornamento,アップデート,ធ្វើបច្ចុប្បន្នភាព,업데이트,Aktualizacja,Atualizar,Cập nhật,更新,Обновить,Оновити,Güncelle
button.use_template,Use this template,استخدم هذا القالب,Verwenden Sie diese Vorlage,Utilice esta plantilla,Utilice esta plantilla,Utilisez ce modèle,इस टेम्पलेट का उपयोग करें,Gunakan template ini,Utilizza questo modello,このテンプレートを使用する,ប្រើគំរូនេះ,이 템플릿을 사용하세요,Użyj tego szablonu,Use este modelo,Sử dụng mẫu này,使用此模板,Использовать этот шаблон,Використати цей шаблон,Bu şablonu kullan
button.view,View,منظر,Sicht,Vista,Vista,Voir,देखना,Melihat,Visualizzazione,表示,មើល,보기,Pogląd,Visualizar,Xem,查看,Просмотр,Перегляд,Görüntüle
button.view_previous,View Previous,عرض السابق,Vorheriges anzeigen,Ver Anterior,Ver Anterior,Voir le précédent,पिछला देखें,Lihat Sebelumnya,Visualizza precedente,前を表示,មើលមុន,이전 보기,Zobacz poprzednie,Ver anterior,Xem trước đó,查看上一个,Просмотр последнего,Переглянути попереднє,Öncekini görüntüle
dialog.are_you_sure_to_archive_these_stories.title,Are you sure to archive these stories?,هل أنت متأكد من أرشفة هذه القصص؟,"Sind Sie sicher, diese Geschichten zu archivieren?",¿Estás seguro de archivar estas historias?,¿Estás seguro de archivar estas historias?,Êtes-vous sûr d’archiver ces histoires ?,क्या आप वाकई इन कहानियों को संग्रहित करना चाहते हैं?,Apakah Anda yakin untuk mengarsipkan cerita ini?,Sei sicuro di archiviare queste storie?,これらのストーリーをアーカイブしてもよろしいですか？,តើ​អ្នក​ប្រាកដ​ក្នុង​ការ​ទុក​រឿង​ទាំង​នេះ​ក្នុង​ប័ណ្ណសារ​ឬ?,이 스토리를 보관하시겠어요?,Czy na pewno chcesz zarchiwizować te historie?,Tem certeza de arquivar essas histórias?,Bạn có chắc chắn lưu trữ những câu chuyện này không?,确定归档这些故事？,Архивировать выбранное?,"Ви впевнені, що хочете архівувати ці розповіді?",Bu hikayeleri arşivlemek istediğinizden emin misiniz?
dialog.are_you_sure_to_delete_period_date.message,All stories associated with this period date will be deleted.,سيتم حذف جميع القصص المرتبطة بهذا التاريخ.,Alle mit diesem Zeitraumdatum verknüpften Geschichten werden gelöscht.,Se eliminarán todas las historias asociadas con este período de fecha.,Se eliminarán todas las historias asociadas con este período de fecha.,Toutes les histoires associées à cette période seront supprimées.,इस अवधि तिथि से संबंधित सभी कहानियां हटा दी जाएंगी।,Semua cerita yang terkait dengan tanggal periode ini akan dihapus.,Tutte le storie associate a questa data del periodo verranno eliminate.,この期間の日付に関連付けられたすべてのストーリーが削除されます。,រឿងទាំងអស់ដែលទាក់ទងនឹងកាលបរិច្ឆេទនៃអំឡុងពេលនេះនឹងត្រូវបានលុប។,이 기간과 관련된 모든 스토리가 삭제됩니다.,Wszystkie historie związane z tą datą zostaną usunięte.,Todas as histórias associadas a esse período serão excluídas.,Tất cả các câu chuyện liên quan đến ngày tháng này sẽ bị xóa.,与此期间日期相关的所有故事都将被删除。,Все истории ассоцированные с даной датой календаря месячных будут удалены.,"Усі розповіді, пов'язані з цим менструальним періодом, будуть видалені.",Bu tarih aralığıyla ilgili tüm hikayeler silinecektir.
dialog.are_you_sure_to_delete_period_date.title,Are you sure you want to delete this period date?,هل أنت متأكد أنك تريد حذف تاريخ هذه الفترة؟,Möchten Sie dieses Zeitraumdatum wirklich löschen?,¿Está seguro de que desea eliminar esta fecha de período?,¿Está seguro de que desea eliminar esta fecha de período?,Êtes-vous sûr de vouloir supprimer cette date de règles ?,क्या आप वाकई इस अवधि की तारीख को हटाना चाहते हैं?,Apakah Anda yakin ingin menghapus tanggal periode ini?,Sei sicuro di voler eliminare questa data del periodo?,この期間の日付を削除してもよろしいですか?,តើអ្នកប្រាកដថាចង់លុបកាលបរិច្ឆេទនេះទេ?,이 기간을 삭제하시겠습니까?,Czy na pewno chcesz usunąć tę datę okresu?,Tem certeza de que deseja excluir esta data do período?,Bạn có chắc chắn muốn xóa ngày tháng này không?,您确定要删除此期间日期吗？,Удалить данную дату из календаря месячных?,Ви справді хочете видалити цей менструальний період?,Bu dönem tarihini silmek istediğinizden emin misiniz?
dialog.are_you_sure_to_delete_tag.message,"This action cannot be undone, but your notes and stories will not be deleted.",لا يمكن التراجع عن هذا الإجراء، ولكن لن يتم حذف ملاحظاتك وقصصك.,"Diese Aktion kann nicht rückgängig gemacht werden, Ihre Notizen und Geschichten werden jedoch nicht gelöscht.","Esta acción no se puede deshacer, pero tus notas e historias no se eliminarán.","Esta acción no se puede deshacer, pero tus notas e historias no se eliminarán.","Cette action ne peut pas être annulée, mais vos notes et histoires ne seront pas supprimées.","इस कार्रवाई को पूर्ववत नहीं किया जा सकता, लेकिन आपके नोट्स और कहानियां हटाई नहीं जाएंगी.","Tindakan ini tidak dapat dibatalkan, namun catatan dan cerita Anda tidak akan dihapus.","Questa azione non può essere annullata, ma le tue note e le tue storie non verranno eliminate.",この操作を元に戻すことはできませんが、メモやストーリーは削除されません。,សកម្មភាពនេះមិនអាចត្រឡប់វិញបានទេ ប៉ុន្តែកំណត់ចំណាំ និងរឿងរបស់អ្នកនឹងមិនត្រូវបានលុបឡើយ។,"이 작업은 되돌릴 수 없지만, 메모와 스토리는 삭제되지 않아요.","Tej czynności nie można cofnąć, ale Twoje notatki i historie nie zostaną usunięte.","Esta ação não pode ser desfeita, mas suas notas e histórias não serão excluídas.",Không thể hoàn tác hành động này nhưng ghi chú và câu chuyện của bạn sẽ không bị xóa.,此操作无法撤消，但你的笔记和故事不会被删除。,"Действие необратимо, но ваши заметки и истории не будут удалены.","Цю дію неможливо скасувати, але ваші нотатки та розповіді не будуть видалені.","Bu işlem geri alınamaz, ancak notlarınız ve hikayeleriniz silinmeyecektir."
dialog.are_you_sure_to_delete_tag.title,Are you sure you want to delete this tag?,هل أنت متأكد أنك تريد حذف هذه العلامة؟,"Sind Sie sicher, dass Sie dieses Tag löschen möchten?",¿Estás seguro de que deseas eliminar esta etiqueta?,¿Estás seguro de que deseas eliminar esta etiqueta?,Êtes-vous sûr de vouloir supprimer cette balise ?,क्या आप वाकई यह टैग हटाना चाहते हैं?,Apakah Anda yakin ingin menghapus tag ini?,Sei sicuro di voler eliminare questo tag?,このタグを削除してもよろしいですか？,តើអ្នកប្រាកដថាចង់លុបស្លាកនេះទេ?,이 태그를 삭제하시겠어요?,Czy na pewno chcesz usunąć ten tag?,Tem certeza de que deseja excluir esta tag?,Bạn có chắc chắn muốn xóa thẻ này không?,确定删除此标签？,Удалить тег?,Ви справді бажаєте видалити цей тег?,Bu etiketi silmek istediğinizden emin misiniz?
dialog.are_you_sure_to_delete_these_stories.title,Are you sure to delete these stories?,هل أنت متأكد من حذف هذه القصص؟,"Sind Sie sicher, dass Sie diese Geschichten löschen?",¿Estás seguro de eliminar estas historias?,¿Estás seguro de eliminar estas historias?,Êtes-vous sûr de supprimer ces histoires ?,क्या आप निश्चित रूप से इन कहानियों को हटा देंगे?,Apakah Anda yakin akan menghapus cerita ini?,Sei sicuro di eliminare queste storie?,これらのストーリーを削除してもよろしいですか？,តើអ្នកប្រាកដក្នុងការលុបរឿងទាំងនេះទេ?,이 스토리를 삭제하시겠어요?,Czy na pewno chcesz usunąć te historie?,Tem certeza de que deseja excluir essas histórias?,Bạn có chắc chắn xóa những câu chuyện này?,确定删除这些故事？,Удалить выбранные истории?,Ви справді бажаєте видалити ці розповіді?,Bu hikayeleri silmek istediğinizden emin misiniz?
dialog.are_you_sure_to_delete_this_backup.title,Are you sure to delete this backup?,هل أنت متأكد من حذف هذه النسخة الاحتياطية؟,Möchten Sie dieses Backup wirklich löschen?,¿Estás seguro de eliminar esta copia de seguridad?,¿Estás seguro de eliminar esta copia de seguridad?,Êtes-vous sûr de supprimer cette sauvegarde ?,क्या आप निश्चित रूप से इस बैकअप को हटाना चाहते हैं?,Apakah Anda yakin akan menghapus cadangan ini?,Sei sicuro di voler eliminare questo backup?,このバックアップを削除してもよろしいですか？,តើអ្នកប្រាកដក្នុងការលុបការបម្រុងទុកនេះទេ?,이 백업을 삭제하시겠어요?,Czy na pewno chcesz usunąć tę kopię zapasową?,Tem certeza de que deseja excluir este backup?,Bạn có chắc chắn xóa bản sao lưu này không?,确定删除此备份？,Удалить выбранный бэкап?,Ви справді бажаєте видалити цю резервну копію?,Bu yedeklemeyi silmek istediğinizden emin misiniz?
dialog.are_you_sure_to_delete_this_page.title,Are you sure to delete this page?,هل أنت متأكد من حذف هذه الصفحة؟,Möchten Sie diese Seite wirklich löschen?,¿Estás seguro de eliminar esta página?,¿Estás seguro de eliminar esta página?,Êtes-vous sûr de supprimer cette page ?,क्या आप निश्चित रूप से इस पृष्ठ को हटाना चाहते हैं?,Apakah Anda yakin akan menghapus halaman ini?,Sei sicuro di eliminare questa pagina?,このページを削除してもよろしいですか？,តើអ្នកប្រាកដក្នុងការលុបទំព័រនេះទេ?,이 페이지를 삭제하시겠어요?,Czy na pewno chcesz usunąć tę stronę?,Tem certeza de que deseja excluir esta página?,Bạn có chắc chắn xóa trang này?,确定删除此页面？,Удалить выбранную страницу?,Ви справді бажаєте видалити цю сторінку?,Bu sayfayı silmek istediğinizden emin misiniz?
